time_col,feature,delta_type,pearson_r,pearson_p,spearman_r,spearman_p,n
unix_delta,original_shape_MeshVolume,signed,-0.021383017204225988,0.6509863191113325,0.09825479413196708,0.0372015184813082,450
unix_delta,original_shape_MeshVolume,abs,-3.2526065174565133e-18,1.0,0.0,1.0,450
unix_delta,original_shape_MajorAxisLength,signed,0.08274413409436862,0.0795344124689133,0.1808056325954814,0.00011496109820492608,450
unix_delta,original_shape_MajorAxisLength,abs,0.0,1.0,0.0,1.0,450
unix_delta,original_shape_MinorAxisLength,signed,0.05136319159986334,0.27691965132173535,0.1537305462731748,0.0010697304500710688,450
unix_delta,original_shape_MinorAxisLength,abs,-4.336808689942018e-18,1.0,0.0,1.0,450
unix_delta,original_shape_LeastAxisLength,signed,0.05899057911427758,0.21166999645412085,0.12916307814818123,0.006072435349438582,450
unix_delta,original_shape_LeastAxisLength,abs,6.071532165918825e-18,1.0,0.0,1.0,450
unix_delta,original_shape_Maximum3DDiameter,signed,0.08549187197529605,0.07001236446120712,0.20089554971076798,1.7577032854562554e-05,450
unix_delta,original_shape_Maximum3DDiameter,abs,-1.734723475976807e-18,1.0,0.0,1.0,450
unix_delta,original_shape_SurfaceArea,signed,0.01335147791043318,0.7775965969773875,0.13890870805534178,0.0031487452224512077,450
unix_delta,original_shape_SurfaceArea,abs,4.7704895589362195e-18,1.0,0.0,1.0,450
unix_delta,original_shape_Sphericity,signed,-0.013006464794249186,0.7831986725052774,-0.16193331015787346,0.0005640108283398426,450
unix_delta,original_shape_Sphericity,abs,4.228388472693467e-18,1.0,0.0,1.0,450
unix_delta,original_shape_Elongation,signed,-0.0679283389659204,0.15025483330253223,-0.2331203266961313,5.717132262579118e-07,450
unix_delta,original_shape_Elongation,abs,-6.5052130349130266e-18,1.0,0.0,1.0,450
unix_delta,original_shape_Flatness,signed,0.017661048457768072,0.7086762350151669,-0.14602029851377551,0.0018989047155883285,450
unix_delta,original_shape_Flatness,abs,5.204170427930421e-18,1.0,0.0,1.0,450
normalized_time_delta,original_shape_MeshVolume,signed,-0.02138301720422599,0.6509863191113325,0.09825479413196708,0.0372015184813082,450
normalized_time_delta,original_shape_MeshVolume,abs,2.8189256484623115e-18,1.0,0.0,1.0,450
normalized_time_delta,original_shape_MajorAxisLength,signed,0.08274413409436862,0.0795344124689133,0.1808056325954814,0.00011496109820492608,450
normalized_time_delta,original_shape_MajorAxisLength,abs,-2.6020852139652106e-18,1.0,0.0,1.0,450
normalized_time_delta,original_shape_MinorAxisLength,signed,0.051363191599863356,0.27691965132173535,0.1537305462731748,0.0010697304500710688,450
normalized_time_delta,original_shape_MinorAxisLength,abs,-1.734723475976807e-18,1.0,0.0,1.0,450
normalized_time_delta,original_shape_LeastAxisLength,signed,0.05899057911427759,0.21166999645412085,0.12916307814818123,0.006072435349438582,450
normalized_time_delta,original_shape_LeastAxisLength,abs,3.903127820947816e-18,1.0,0.0,1.0,450
normalized_time_delta,original_shape_Maximum3DDiameter,signed,0.08549187197529604,0.07001236446120712,0.20089554971076798,1.7577032854562554e-05,450
normalized_time_delta,original_shape_Maximum3DDiameter,abs,-8.673617379884035e-19,1.0,0.0,1.0,450
normalized_time_delta,original_shape_SurfaceArea,signed,0.013351477910433174,0.7775965969773875,0.13890870805534178,0.0031487452224512077,450
normalized_time_delta,original_shape_SurfaceArea,abs,6.5052130349130266e-18,1.0,0.0,1.0,450
normalized_time_delta,original_shape_Sphericity,signed,-0.013006464794249176,0.7831986725052774,-0.16193331015787346,0.0005640108283398426,450
normalized_time_delta,original_shape_Sphericity,abs,3.3610267347050637e-18,1.0,0.0,1.0,450
normalized_time_delta,original_shape_Elongation,signed,-0.06792833896592038,0.15025483330253223,-0.2331203266961313,5.717132262579118e-07,450
normalized_time_delta,original_shape_Elongation,abs,-3.577867169202165e-18,1.0,0.0,1.0,450
normalized_time_delta,original_shape_Flatness,signed,0.017661048457768086,0.7086762350151669,-0.14602029851377551,0.0018989047155883285,450
normalized_time_delta,original_shape_Flatness,abs,4.336808689942018e-18,1.0,0.0,1.0,450
